Item Code,Item
3010,Population - Est. & Proj.
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw"
572,Avocados
486,Bananas
176,"Beans, dry"
358,Cabbages
217,"Cashew nuts, in shell"
125,"Cassava, fresh"
265,Castor oil seeds
393,Cauliflowers and broccoli
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw"
693,"Cinnamon and cinnamon-tree flowers, raw"
661,Cocoa beans
249,"Coconuts, in shell"
656,"Coffee, green"
560,Grapes
242,"Groundnuts, excluding shelled"
1062,"Hen eggs in shell, fresh"
1097,"Horse meat, fresh or chilled"
1120,"Horse meat, fresh or chilled (indigenous)"
780,"Jute, raw or retted"
56,Maize (corn)
571,"Mangoes, guavas and mangosteens"
947,"Meat of buffalo, fresh or chilled"
972,"Meat of buffalo, fresh or chilled (indigenous)"
867,"Meat of cattle with the bone, fresh or chilled"
944,"Meat of cattle with the bone, fresh or chilled (indigenous)"
1058,"Meat of chickens, fresh or chilled"
1094,"Meat of chickens, fresh or chilled (indigenous)"
1069,"Meat of ducks, fresh or chilled"
1070,"Meat of ducks, fresh or chilled (indigenous)"
1017,"Meat of goat, fresh or chilled"
1032,"Meat of goat, fresh or chilled (indigenous)"
1035,"Meat of pig with the bone, fresh or chilled"
1055,"Meat of pig with the bone, fresh or chilled (indigenous)"
79,Millet
449,Mushrooms and truffles
1182,Natural honey
836,Natural rubber in primary forms
403,"Onions and shallots, dry (excluding dehydrated)"
490,Oranges
558,Other berries and fruits of the genus vaccinium n.e.c.
821,"Other fibre crops, raw, n.e.c."
619,"Other fruits, n.e.c."
1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen"
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c."
211,Other pulses n.e.c.
463,"Other vegetables, fresh n.e.c."
600,Papayas
687,"Pepper (Piper spp.), raw"
574,Pineapples
507,Pomelos and grapefruits
116,Potatoes
951,Raw milk of buffalo
882,Raw milk of cattle
27,Rice
328,"Seed cotton, unginned"
289,Sesame seed
1185,Silk-worm cocoons suitable for reeling
236,Soya beans
156,Sugar cane
122,Sweet potatoes
667,Tea leaves
826,Unmanufactured tobacco
567,Watermelons
2051,Agriculture
1717,"Cereals, primary"
2041,Crops
2054,Food
1738,Fruit Primary
2044,Livestock
1770,"Meat indigenous, total"
1780,"Milk, Total"
2057,Non Food
1720,"Roots and Tubers, Total"
1723,Sugar Crops Primary
1739,Vegetables and Fruit Primary
1735,Vegetables Primary
51,"Beer of barley, malted"
1181,Bees
1183,Beeswax
946,Buffalo
949,"Buffalo fat, unrendered"
899,"Buttermilk, dry"
866,Cattle
869,"Cattle fat, unrendered"
1057,Chickens
252,Coconut oil
813,"Coir, raw"
767,"Cotton lint, ginned"
329,Cotton seed
331,Cottonseed oil
1068,Ducks
948,"Edible offal of buffalo, fresh, chilled or frozen"
868,"Edible offal of cattle, fresh, chilled or frozen"
1018,"Edible offal of goat, fresh, chilled or frozen"
1036,"Edible offal of pigs, fresh, chilled or frozen"
1098,"Edible offals of horses and other equines,  fresh, chilled or frozen"
1091,"Eggs from other birds in shell, fresh, n.e.c."
1037,Fat of pigs
1019,"Goat fat, unrendered"
1016,Goats
675,"Green tea (not fermented), black tea (fermented) and partly fermented tea"
244,Groundnut oil
1096,Horses
165,Molasses
290,Oil of sesame seed
162,Raw cane or beet sugar (centrifugal only)
957,Raw hides and skins of buffaloes
919,Raw hides and skins of cattle
1025,Raw hides and skins of goats or kids
1186,Raw silk (not thrown)
71,Rye
83,Sorghum
237,Soya bean oil
1034,Swine / pigs
1225,Tallow
897,Whole milk powder
889,"Whole milk, condensed"
564,Wine
891,Yoghurt
1806,"Beef and Buffalo Meat, primary"
1746,Cattle and Buffaloes
1804,"Citrus Fruit, Total"
1783,Eggs Primary
1816,Evaporated & Condensed Milk
17530,"Fibre Crops, Fibre Equivalent"
1808,"Meat, Poultry"
1765,"Meat, Total"
1841,"Oilcrops, Cake Equivalent"
1732,"Oilcrops, Oil Equivalent"
2029,Poultry Birds
1726,"Pulses, Total"
1807,Sheep and Goat Meat
1749,Sheep and Goats
1809,"Skim Milk & Buttermilk, Dry"
1729,"Treenuts, Total"
